order_id,branch_id,branch_name,city,menu_id,menu_name,category,quantity,price,cogs,revenue,margin,order_date,month,margin_pct
16,1,Gacoan Malang Soekarno Hatta,Malang,2,Mie Setan,Mie,2,22000,9000,44000,26000,2024-07-13,2024-07,59.09090909090909
17,3,Gacoan Surabaya Gubeng,Surabaya,4,Dimsum Udang,Dimsum,6,15000,7000,90000,48000,2024-03-24,2024-03,53.333333333333336
18,3,Gacoan Surabaya Gubeng,Surabaya,3,Mie Iblis,Mie,4,25000,10000,100000,60000,2024-12-09,2024-12,60.0
19,3,Gacoan Surabaya Gubeng,Surabaya,1,Mie Hompimpa,Mie,10,18000,8000,180000,100000,2024-11-21,2024-11,55.55555555555556
20,2,Gacoan Malang Sulfat,Malang,5,Es Teh Jumbo,Minuman,4,8000,3000,32000,20000,2024-03-24,2024-03,62.5
21,4,Gacoan Surabaya Darmo,Surabaya,4,Dimsum Udang,Dimsum,5,15000,7000,75000,40000,2024-11-23,2024-11,53.333333333333336
22,5,Gacoan Jogja Seturan,Yogyakarta,2,Mie Setan,Mie,6,22000,9000,132000,78000,2024-01-29,2024-01,59.09090909090909
23,2,Gacoan Malang Sulfat,Malang,1,Mie Hompimpa,Mie,6,18000,8000,108000,60000,2024-07-24,2024-07,55.55555555555556
24,3,Gacoan Surabaya Gubeng,Surabaya,1,Mie Hompimpa,Mie,4,18000,8000,72000,40000,2024-10-17,2024-10,55.55555555555556
25,3,Gacoan Surabaya Gubeng,Surabaya,2,Mie Setan,Mie,8,22000,9000,176000,104000,2024-07-21,2024-07,59.09090909090909
26,4,Gacoan Surabaya Darmo,Surabaya,2,Mie Setan,Mie,5,22000,9000,110000,65000,2024-03-12,2024-03,59.09090909090909
27,2,Gacoan Malang Sulfat,Malang,5,Es Teh Jumbo,Minuman,9,8000,3000,72000,45000,2024-05-14,2024-05,62.5
28,5,Gacoan Jogja Seturan,Yogyakarta,4,Dimsum Udang,Dimsum,10,15000,7000,150000,80000,2024-07-23,2024-07,53.333333333333336
29,3,Gacoan Surabaya Gubeng,Surabaya,2,Mie Setan,Mie,3,22000,9000,66000,39000,2024-09-17,2024-09,59.09090909090909
30,4,Gacoan Surabaya Darmo,Surabaya,1,Mie Hompimpa,Mie,1,18000,8000,18000,10000,2024-02-26,2024-02,55.55555555555556
31,2,Gacoan Malang Sulfat,Malang,2,Mie Setan,Mie,7,22000,9000,154000,91000,2024-11-01,2024-11,59.09090909090909
32,1,Gacoan Malang Soekarno Hatta,Malang,4,Dimsum Udang,Dimsum,7,15000,7000,105000,56000,2024-11-01,2024-11,53.333333333333336
33,4,Gacoan Surabaya Darmo,Surabaya,5,Es Teh Jumbo,Minuman,5,8000,3000,40000,25000,2024-10-10,2024-10,62.5
34,1,Gacoan Malang Soekarno Hatta,Malang,1,Mie Hompimpa,Mie,9,18000,8000,162000,90000,2024-05-16,2024-05,55.55555555555556
35,3,Gacoan Surabaya Gubeng,Surabaya,1,Mie Hompimpa,Mie,5,18000,8000,90000,50000,2024-08-10,2024-08,55.55555555555556
36,2,Gacoan Malang Sulfat,Malang,4,Dimsum Udang,Dimsum,1,15000,7000,15000,8000,2024-05-14,2024-05,53.333333333333336
37,5,Gacoan Jogja Seturan,Yogyakarta,2,Mie Setan,Mie,9,22000,9000,198000,117000,2024-02-24,2024-02,59.09090909090909
38,3,Gacoan Surabaya Gubeng,Surabaya,5,Es Teh Jumbo,Minuman,10,8000,3000,80000,50000,2024-04-11,2024-04,62.5
39,2,Gacoan Malang Sulfat,Malang,3,Mie Iblis,Mie,3,25000,10000,75000,45000,2024-10-03,2024-10,60.0
40,5,Gacoan Jogja Seturan,Yogyakarta,1,Mie Hompimpa,Mie,10,18000,8000,180000,100000,2024-06-14,2024-06,55.55555555555556
41,4,Gacoan Surabaya Darmo,Surabaya,1,Mie Hompimpa,Mie,2,18000,8000,36000,20000,2024-07-04,2024-07,55.55555555555556
42,3,Gacoan Surabaya Gubeng,Surabaya,2,Mie Setan,Mie,1,22000,9000,22000,13000,2024-05-03,2024-05,59.09090909090909
43,5,Gacoan Jogja Seturan,Yogyakarta,1,Mie Hompimpa,Mie,2,18000,8000,36000,20000,2024-09-05,2024-09,55.55555555555556
44,1,Gacoan Malang Soekarno Hatta,Malang,5,Es Teh Jumbo,Minuman,3,8000,3000,24000,15000,2024-03-06,2024-03,62.5
45,4,Gacoan Surabaya Darmo,Surabaya,5,Es Teh Jumbo,Minuman,3,8000,3000,24000,15000,2024-05-15,2024-05,62.5
46,5,Gacoan Jogja Seturan,Yogyakarta,5,Es Teh Jumbo,Minuman,7,8000,3000,56000,35000,2024-04-18,2024-04,62.5
47,5,Gacoan Jogja Seturan,Yogyakarta,2,Mie Setan,Mie,5,22000,9000,110000,65000,2024-07-23,2024-07,59.09090909090909
48,3,Gacoan Surabaya Gubeng,Surabaya,4,Dimsum Udang,Dimsum,9,15000,7000,135000,72000,2024-08-19,2024-08,53.333333333333336
49,1,Gacoan Malang Soekarno Hatta,Malang,2,Mie Setan,Mie,4,22000,9000,88000,52000,2024-02-02,2024-02,59.09090909090909
50,3,Gacoan Surabaya Gubeng,Surabaya,1,Mie Hompimpa,Mie,10,18000,8000,180000,100000,2024-10-10,2024-10,55.55555555555556
51,2,Gacoan Malang Sulfat,Malang,5,Es Teh Jumbo,Minuman,4,8000,3000,32000,20000,2024-01-04,2024-01,62.5
52,1,Gacoan Malang Soekarno Hatta,Malang,1,Mie Hompimpa,Mie,4,18000,8000,72000,40000,2024-02-04,2024-02,55.55555555555556
53,1,Gacoan Malang Soekarno Hatta,Malang,3,Mie Iblis,Mie,2,25000,10000,50000,30000,2024-09-20,2024-09,60.0
54,2,Gacoan Malang Sulfat,Malang,3,Mie Iblis,Mie,8,25000,10000,200000,120000,2024-04-19,2024-04,60.0
55,5,Gacoan Jogja Seturan,Yogyakarta,2,Mie Setan,Mie,10,22000,9000,220000,130000,2024-10-22,2024-10,59.09090909090909
56,4,Gacoan Surabaya Darmo,Surabaya,2,Mie Setan,Mie,8,22000,9000,176000,104000,2024-07-27,2024-07,59.09090909090909
57,2,Gacoan Malang Sulfat,Malang,1,Mie Hompimpa,Mie,2,18000,8000,36000,20000,2024-12-03,2024-12,55.55555555555556
58,4,Gacoan Surabaya Darmo,Surabaya,3,Mie Iblis,Mie,7,25000,10000,175000,105000,2024-07-29,2024-07,60.0
59,4,Gacoan Surabaya Darmo,Surabaya,1,Mie Hompimpa,Mie,2,18000,8000,36000,20000,2024-02-01,2024-02,55.55555555555556
60,4,Gacoan Surabaya Darmo,Surabaya,3,Mie Iblis,Mie,2,25000,10000,50000,30000,2024-05-07,2024-05,60.0
61,2,Gacoan Malang Sulfat,Malang,2,Mie Setan,Mie,9,22000,9000,198000,117000,2024-08-17,2024-08,59.09090909090909
62,2,Gacoan Malang Sulfat,Malang,4,Dimsum Udang,Dimsum,3,15000,7000,45000,24000,2024-05-22,2024-05,53.333333333333336
63,4,Gacoan Surabaya Darmo,Surabaya,2,Mie Setan,Mie,2,22000,9000,44000,26000,2024-08-14,2024-08,59.09090909090909
64,5,Gacoan Jogja Seturan,Yogyakarta,1,Mie Hompimpa,Mie,1,18000,8000,18000,10000,2024-11-29,2024-11,55.55555555555556
65,5,Gacoan Jogja Seturan,Yogyakarta,1,Mie Hompimpa,Mie,2,18000,8000,36000,20000,2024-05-01,2024-05,55.55555555555556
66,2,Gacoan Malang Sulfat,Malang,4,Dimsum Udang,Dimsum,8,15000,7000,120000,64000,2024-09-03,2024-09,53.333333333333336
67,2,Gacoan Malang Sulfat,Malang,4,Dimsum Udang,Dimsum,1,15000,7000,15000,8000,2024-03-25,2024-03,53.333333333333336
68,4,Gacoan Surabaya Darmo,Surabaya,1,Mie Hompimpa,Mie,7,18000,8000,126000,70000,2024-05-15,2024-05,55.55555555555556
69,4,Gacoan Surabaya Darmo,Surabaya,3,Mie Iblis,Mie,7,25000,10000,175000,105000,2024-12-22,2024-12,60.0
70,5,Gacoan Jogja Seturan,Yogyakarta,4,Dimsum Udang,Dimsum,3,15000,7000,45000,24000,2024-04-07,2024-04,53.333333333333336
71,3,Gacoan Surabaya Gubeng,Surabaya,2,Mie Setan,Mie,1,22000,9000,22000,13000,2024-10-23,2024-10,59.09090909090909
72,5,Gacoan Jogja Seturan,Yogyakarta,1,Mie Hompimpa,Mie,6,18000,8000,108000,60000,2024-01-30,2024-01,55.55555555555556
73,1,Gacoan Malang Soekarno Hatta,Malang,5,Es Teh Jumbo,Minuman,8,8000,3000,64000,40000,2024-09-14,2024-09,62.5
74,5,Gacoan Jogja Seturan,Yogyakarta,2,Mie Setan,Mie,1,22000,9000,22000,13000,2024-09-17,2024-09,59.09090909090909
75,1,Gacoan Malang Soekarno Hatta,Malang,2,Mie Setan,Mie,2,22000,9000,44000,26000,2024-10-31,2024-10,59.09090909090909
76,1,Gacoan Malang Soekarno Hatta,Malang,2,Mie Setan,Mie,7,22000,9000,154000,91000,2024-03-02,2024-03,59.09090909090909
77,5,Gacoan Jogja Seturan,Yogyakarta,2,Mie Setan,Mie,10,22000,9000,220000,130000,2024-10-31,2024-10,59.09090909090909
78,1,Gacoan Malang Soekarno Hatta,Malang,5,Es Teh Jumbo,Minuman,2,8000,3000,16000,10000,2024-08-02,2024-08,62.5
79,5,Gacoan Jogja Seturan,Yogyakarta,5,Es Teh Jumbo,Minuman,9,8000,3000,72000,45000,2024-06-10,2024-06,62.5
80,3,Gacoan Surabaya Gubeng,Surabaya,2,Mie Setan,Mie,6,22000,9000,132000,78000,2024-05-02,2024-05,59.09090909090909
81,3,Gacoan Surabaya Gubeng,Surabaya,4,Dimsum Udang,Dimsum,3,15000,7000,45000,24000,2024-12-09,2024-12,53.333333333333336
82,3,Gacoan Surabaya Gubeng,Surabaya,4,Dimsum Udang,Dimsum,6,15000,7000,90000,48000,2024-02-07,2024-02,53.333333333333336
83,1,Gacoan Malang Soekarno Hatta,Malang,4,Dimsum Udang,Dimsum,10,15000,7000,150000,80000,2024-10-15,2024-10,53.333333333333336
84,1,Gacoan Malang Soekarno Hatta,Malang,1,Mie Hompimpa,Mie,9,18000,8000,162000,90000,2024-04-19,2024-04,55.55555555555556
85,5,Gacoan Jogja Seturan,Yogyakarta,3,Mie Iblis,Mie,3,25000,10000,75000,45000,2024-06-27,2024-06,60.0
86,1,Gacoan Malang Soekarno Hatta,Malang,2,Mie Setan,Mie,6,22000,9000,132000,78000,2024-05-25,2024-05,59.09090909090909
87,2,Gacoan Malang Sulfat,Malang,4,Dimsum Udang,Dimsum,9,15000,7000,135000,72000,2024-12-26,2024-12,53.333333333333336
88,3,Gacoan Surabaya Gubeng,Surabaya,5,Es Teh Jumbo,Minuman,9,8000,3000,72000,45000,2024-01-05,2024-01,62.5
89,5,Gacoan Jogja Seturan,Yogyakarta,3,Mie Iblis,Mie,2,25000,10000,50000,30000,2024-03-09,2024-03,60.0
90,3,Gacoan Surabaya Gubeng,Surabaya,1,Mie Hompimpa,Mie,2,18000,8000,36000,20000,2024-10-10,2024-10,55.55555555555556
91,2,Gacoan Malang Sulfat,Malang,3,Mie Iblis,Mie,5,25000,10000,125000,75000,2024-11-05,2024-11,60.0
92,2,Gacoan Malang Sulfat,Malang,3,Mie Iblis,Mie,4,25000,10000,100000,60000,2024-12-17,2024-12,60.0
93,3,Gacoan Surabaya Gubeng,Surabaya,5,Es Teh Jumbo,Minuman,8,8000,3000,64000,40000,2024-05-08,2024-05,62.5
94,1,Gacoan Malang Soekarno Hatta,Malang,1,Mie Hompimpa,Mie,7,18000,8000,126000,70000,2024-05-21,2024-05,55.55555555555556
95,1,Gacoan Malang Soekarno Hatta,Malang,1,Mie Hompimpa,Mie,6,18000,8000,108000,60000,2024-03-07,2024-03,55.55555555555556
96,3,Gacoan Surabaya Gubeng,Surabaya,2,Mie Setan,Mie,8,22000,9000,176000,104000,2024-10-09,2024-10,59.09090909090909
97,4,Gacoan Surabaya Darmo,Surabaya,5,Es Teh Jumbo,Minuman,1,8000,3000,8000,5000,2024-02-27,2024-02,62.5
98,1,Gacoan Malang Soekarno Hatta,Malang,2,Mie Setan,Mie,9,22000,9000,198000,117000,2024-01-19,2024-01,59.09090909090909
99,3,Gacoan Surabaya Gubeng,Surabaya,5,Es Teh Jumbo,Minuman,9,8000,3000,72000,45000,2024-03-16,2024-03,62.5
100,4,Gacoan Surabaya Darmo,Surabaya,2,Mie Setan,Mie,1,22000,9000,22000,13000,2024-06-06,2024-06,59.09090909090909
101,3,Gacoan Surabaya Gubeng,Surabaya,1,Mie Hompimpa,Mie,6,18000,8000,108000,60000,2024-04-17,2024-04,55.55555555555556
102,2,Gacoan Malang Sulfat,Malang,1,Mie Hompimpa,Mie,6,18000,8000,108000,60000,2024-10-13,2024-10,55.55555555555556
103,4,Gacoan Surabaya Darmo,Surabaya,5,Es Teh Jumbo,Minuman,3,8000,3000,24000,15000,2024-05-01,2024-05,62.5
104,2,Gacoan Malang Sulfat,Malang,2,Mie Setan,Mie,7,22000,9000,154000,91000,2024-01-13,2024-01,59.09090909090909
105,2,Gacoan Malang Sulfat,Malang,3,Mie Iblis,Mie,7,25000,10000,175000,105000,2024-12-08,2024-12,60.0
106,2,Gacoan Malang Sulfat,Malang,3,Mie Iblis,Mie,3,25000,10000,75000,45000,2024-12-25,2024-12,60.0
107,1,Gacoan Malang Soekarno Hatta,Malang,4,Dimsum Udang,Dimsum,1,15000,7000,15000,8000,2024-08-28,2024-08,53.333333333333336
108,2,Gacoan Malang Sulfat,Malang,2,Mie Setan,Mie,8,22000,9000,176000,104000,2024-06-28,2024-06,59.09090909090909
109,3,Gacoan Surabaya Gubeng,Surabaya,2,Mie Setan,Mie,4,22000,9000,88000,52000,2024-01-13,2024-01,59.09090909090909
110,2,Gacoan Malang Sulfat,Malang,4,Dimsum Udang,Dimsum,6,15000,7000,90000,48000,2024-05-22,2024-05,53.333333333333336
111,1,Gacoan Malang Soekarno Hatta,Malang,3,Mie Iblis,Mie,6,25000,10000,150000,90000,2024-11-24,2024-11,60.0
112,5,Gacoan Jogja Seturan,Yogyakarta,4,Dimsum Udang,Dimsum,9,15000,7000,135000,72000,2024-06-18,2024-06,53.333333333333336
113,1,Gacoan Malang Soekarno Hatta,Malang,1,Mie Hompimpa,Mie,5,18000,8000,90000,50000,2024-04-01,2024-04,55.55555555555556
114,5,Gacoan Jogja Seturan,Yogyakarta,3,Mie Iblis,Mie,1,25000,10000,25000,15000,2024-02-25,2024-02,60.0
115,5,Gacoan Jogja Seturan,Yogyakarta,4,Dimsum Udang,Dimsum,6,15000,7000,90000,48000,2024-06-09,2024-06,53.333333333333336
116,4,Gacoan Surabaya Darmo,Surabaya,5,Es Teh Jumbo,Minuman,9,8000,3000,72000,45000,2024-02-29,2024-02,62.5
117,4,Gacoan Surabaya Darmo,Surabaya,5,Es Teh Jumbo,Minuman,4,8000,3000,32000,20000,2024-05-10,2024-05,62.5
118,1,Gacoan Malang Soekarno Hatta,Malang,4,Dimsum Udang,Dimsum,1,15000,7000,15000,8000,2024-09-23,2024-09,53.333333333333336
119,5,Gacoan Jogja Seturan,Yogyakarta,2,Mie Setan,Mie,6,22000,9000,132000,78000,2024-08-08,2024-08,59.09090909090909
120,1,Gacoan Malang Soekarno Hatta,Malang,3,Mie Iblis,Mie,10,25000,10000,250000,150000,2024-06-09,2024-06,60.0
121,1,Gacoan Malang Soekarno Hatta,Malang,3,Mie Iblis,Mie,9,25000,10000,225000,135000,2024-06-07,2024-06,60.0
122,4,Gacoan Surabaya Darmo,Surabaya,3,Mie Iblis,Mie,7,25000,10000,175000,105000,2024-12-22,2024-12,60.0
123,3,Gacoan Surabaya Gubeng,Surabaya,5,Es Teh Jumbo,Minuman,3,8000,3000,24000,15000,2024-04-08,2024-04,62.5
124,4,Gacoan Surabaya Darmo,Surabaya,4,Dimsum Udang,Dimsum,3,15000,7000,45000,24000,2024-11-11,2024-11,53.333333333333336
125,5,Gacoan Jogja Seturan,Yogyakarta,3,Mie Iblis,Mie,7,25000,10000,175000,105000,2024-10-07,2024-10,60.0
126,1,Gacoan Malang Soekarno Hatta,Malang,3,Mie Iblis,Mie,5,25000,10000,125000,75000,2024-04-17,2024-04,60.0
127,4,Gacoan Surabaya Darmo,Surabaya,5,Es Teh Jumbo,Minuman,10,8000,3000,80000,50000,2024-12-01,2024-12,62.5
128,3,Gacoan Surabaya Gubeng,Surabaya,4,Dimsum Udang,Dimsum,8,15000,7000,120000,64000,2024-08-14,2024-08,53.333333333333336
129,2,Gacoan Malang Sulfat,Malang,5,Es Teh Jumbo,Minuman,8,8000,3000,64000,40000,2024-03-27,2024-03,62.5
130,1,Gacoan Malang Soekarno Hatta,Malang,3,Mie Iblis,Mie,9,25000,10000,225000,135000,2024-12-05,2024-12,60.0
131,5,Gacoan Jogja Seturan,Yogyakarta,3,Mie Iblis,Mie,2,25000,10000,50000,30000,2024-04-30,2024-04,60.0
132,3,Gacoan Surabaya Gubeng,Surabaya,2,Mie Setan,Mie,4,22000,9000,88000,52000,2024-03-16,2024-03,59.09090909090909
133,1,Gacoan Malang Soekarno Hatta,Malang,1,Mie Hompimpa,Mie,4,18000,8000,72000,40000,2024-08-31,2024-08,55.55555555555556
134,5,Gacoan Jogja Seturan,Yogyakarta,1,Mie Hompimpa,Mie,8,18000,8000,144000,80000,2024-07-31,2024-07,55.55555555555556
135,5,Gacoan Jogja Seturan,Yogyakarta,2,Mie Setan,Mie,7,22000,9000,154000,91000,2024-09-10,2024-09,59.09090909090909
136,4,Gacoan Surabaya Darmo,Surabaya,2,Mie Setan,Mie,3,22000,9000,66000,39000,2024-12-01,2024-12,59.09090909090909
137,1,Gacoan Malang Soekarno Hatta,Malang,1,Mie Hompimpa,Mie,7,18000,8000,126000,70000,2024-04-22,2024-04,55.55555555555556
138,2,Gacoan Malang Sulfat,Malang,5,Es Teh Jumbo,Minuman,8,8000,3000,64000,40000,2024-01-26,2024-01,62.5
139,5,Gacoan Jogja Seturan,Yogyakarta,2,Mie Setan,Mie,2,22000,9000,44000,26000,2024-08-21,2024-08,59.09090909090909
140,2,Gacoan Malang Sulfat,Malang,4,Dimsum Udang,Dimsum,9,15000,7000,135000,72000,2024-10-13,2024-10,53.333333333333336
141,5,Gacoan Jogja Seturan,Yogyakarta,3,Mie Iblis,Mie,8,25000,10000,200000,120000,2024-11-09,2024-11,60.0
142,5,Gacoan Jogja Seturan,Yogyakarta,4,Dimsum Udang,Dimsum,9,15000,7000,135000,72000,2024-08-16,2024-08,53.333333333333336
143,2,Gacoan Malang Sulfat,Malang,4,Dimsum Udang,Dimsum,8,15000,7000,120000,64000,2024-05-12,2024-05,53.333333333333336
144,2,Gacoan Malang Sulfat,Malang,3,Mie Iblis,Mie,9,25000,10000,225000,135000,2024-09-05,2024-09,60.0
145,2,Gacoan Malang Sulfat,Malang,3,Mie Iblis,Mie,8,25000,10000,200000,120000,2024-02-09,2024-02,60.0
146,3,Gacoan Surabaya Gubeng,Surabaya,2,Mie Setan,Mie,5,22000,9000,110000,65000,2024-06-20,2024-06,59.09090909090909
147,3,Gacoan Surabaya Gubeng,Surabaya,5,Es Teh Jumbo,Minuman,2,8000,3000,16000,10000,2024-03-11,2024-03,62.5
148,2,Gacoan Malang Sulfat,Malang,2,Mie Setan,Mie,7,22000,9000,154000,91000,2024-12-21,2024-12,59.09090909090909
149,2,Gacoan Malang Sulfat,Malang,2,Mie Setan,Mie,2,22000,9000,44000,26000,2024-07-31,2024-07,59.09090909090909
150,4,Gacoan Surabaya Darmo,Surabaya,3,Mie Iblis,Mie,9,25000,10000,225000,135000,2024-08-26,2024-08,60.0
151,4,Gacoan Surabaya Darmo,Surabaya,1,Mie Hompimpa,Mie,4,18000,8000,72000,40000,2024-08-03,2024-08,55.55555555555556
152,4,Gacoan Surabaya Darmo,Surabaya,5,Es Teh Jumbo,Minuman,1,8000,3000,8000,5000,2024-10-21,2024-10,62.5
153,4,Gacoan Surabaya Darmo,Surabaya,4,Dimsum Udang,Dimsum,1,15000,7000,15000,8000,2024-06-29,2024-06,53.333333333333336
154,3,Gacoan Surabaya Gubeng,Surabaya,4,Dimsum Udang,Dimsum,7,15000,7000,105000,56000,2024-10-02,2024-10,53.333333333333336
155,5,Gacoan Jogja Seturan,Yogyakarta,5,Es Teh Jumbo,Minuman,4,8000,3000,32000,20000,2024-09-06,2024-09,62.5
156,2,Gacoan Malang Sulfat,Malang,3,Mie Iblis,Mie,7,25000,10000,175000,105000,2024-09-05,2024-09,60.0
157,1,Gacoan Malang Soekarno Hatta,Malang,4,Dimsum Udang,Dimsum,6,15000,7000,90000,48000,2024-12-08,2024-12,53.333333333333336
158,4,Gacoan Surabaya Darmo,Surabaya,2,Mie Setan,Mie,8,22000,9000,176000,104000,2024-03-06,2024-03,59.09090909090909
159,5,Gacoan Jogja Seturan,Yogyakarta,5,Es Teh Jumbo,Minuman,1,8000,3000,8000,5000,2024-07-20,2024-07,62.5
160,5,Gacoan Jogja Seturan,Yogyakarta,5,Es Teh Jumbo,Minuman,1,8000,3000,8000,5000,2024-02-12,2024-02,62.5
161,4,Gacoan Surabaya Darmo,Surabaya,2,Mie Setan,Mie,8,22000,9000,176000,104000,2024-04-03,2024-04,59.09090909090909
162,1,Gacoan Malang Soekarno Hatta,Malang,3,Mie Iblis,Mie,7,25000,10000,175000,105000,2024-06-16,2024-06,60.0
163,2,Gacoan Malang Sulfat,Malang,4,Dimsum Udang,Dimsum,6,15000,7000,90000,48000,2024-06-21,2024-06,53.333333333333336
164,4,Gacoan Surabaya Darmo,Surabaya,3,Mie Iblis,Mie,7,25000,10000,175000,105000,2024-05-09,2024-05,60.0
165,1,Gacoan Malang Soekarno Hatta,Malang,4,Dimsum Udang,Dimsum,1,15000,7000,15000,8000,2024-10-03,2024-10,53.333333333333336
166,1,Gacoan Malang Soekarno Hatta,Malang,3,Mie Iblis,Mie,4,25000,10000,100000,60000,2024-11-28,2024-11,60.0
167,1,Gacoan Malang Soekarno Hatta,Malang,1,Mie Hompimpa,Mie,1,18000,8000,18000,10000,2024-05-06,2024-05,55.55555555555556
168,2,Gacoan Malang Sulfat,Malang,1,Mie Hompimpa,Mie,10,18000,8000,180000,100000,2024-03-19,2024-03,55.55555555555556
169,2,Gacoan Malang Sulfat,Malang,2,Mie Setan,Mie,8,22000,9000,176000,104000,2024-12-08,2024-12,59.09090909090909
170,1,Gacoan Malang Soekarno Hatta,Malang,5,Es Teh Jumbo,Minuman,4,8000,3000,32000,20000,2024-08-26,2024-08,62.5
171,3,Gacoan Surabaya Gubeng,Surabaya,3,Mie Iblis,Mie,3,25000,10000,75000,45000,2024-11-06,2024-11,60.0
172,5,Gacoan Jogja Seturan,Yogyakarta,1,Mie Hompimpa,Mie,3,18000,8000,54000,30000,2024-06-08,2024-06,55.55555555555556
173,1,Gacoan Malang Soekarno Hatta,Malang,5,Es Teh Jumbo,Minuman,1,8000,3000,8000,5000,2024-06-08,2024-06,62.5
174,5,Gacoan Jogja Seturan,Yogyakarta,4,Dimsum Udang,Dimsum,7,15000,7000,105000,56000,2024-04-11,2024-04,53.333333333333336
175,1,Gacoan Malang Soekarno Hatta,Malang,5,Es Teh Jumbo,Minuman,4,8000,3000,32000,20000,2024-02-22,2024-02,62.5
176,3,Gacoan Surabaya Gubeng,Surabaya,5,Es Teh Jumbo,Minuman,2,8000,3000,16000,10000,2024-10-16,2024-10,62.5
177,1,Gacoan Malang Soekarno Hatta,Malang,3,Mie Iblis,Mie,9,25000,10000,225000,135000,2024-08-07,2024-08,60.0
178,3,Gacoan Surabaya Gubeng,Surabaya,1,Mie Hompimpa,Mie,9,18000,8000,162000,90000,2024-11-27,2024-11,55.55555555555556
179,3,Gacoan Surabaya Gubeng,Surabaya,1,Mie Hompimpa,Mie,7,18000,8000,126000,70000,2024-09-07,2024-09,55.55555555555556
180,1,Gacoan Malang Soekarno Hatta,Malang,4,Dimsum Udang,Dimsum,6,15000,7000,90000,48000,2024-11-21,2024-11,53.333333333333336
181,4,Gacoan Surabaya Darmo,Surabaya,2,Mie Setan,Mie,7,22000,9000,154000,91000,2024-03-31,2024-03,59.09090909090909
182,5,Gacoan Jogja Seturan,Yogyakarta,3,Mie Iblis,Mie,10,25000,10000,250000,150000,2024-10-02,2024-10,60.0
183,4,Gacoan Surabaya Darmo,Surabaya,4,Dimsum Udang,Dimsum,7,15000,7000,105000,56000,2024-10-30,2024-10,53.333333333333336
184,3,Gacoan Surabaya Gubeng,Surabaya,3,Mie Iblis,Mie,4,25000,10000,100000,60000,2024-02-14,2024-02,60.0
185,3,Gacoan Surabaya Gubeng,Surabaya,4,Dimsum Udang,Dimsum,4,15000,7000,60000,32000,2024-08-25,2024-08,53.333333333333336
186,5,Gacoan Jogja Seturan,Yogyakarta,5,Es Teh Jumbo,Minuman,7,8000,3000,56000,35000,2024-06-21,2024-06,62.5
187,1,Gacoan Malang Soekarno Hatta,Malang,4,Dimsum Udang,Dimsum,6,15000,7000,90000,48000,2024-04-03,2024-04,53.333333333333336
188,4,Gacoan Surabaya Darmo,Surabaya,2,Mie Setan,Mie,6,22000,9000,132000,78000,2024-05-12,2024-05,59.09090909090909
189,3,Gacoan Surabaya Gubeng,Surabaya,3,Mie Iblis,Mie,10,25000,10000,250000,150000,2024-12-25,2024-12,60.0
190,3,Gacoan Surabaya Gubeng,Surabaya,5,Es Teh Jumbo,Minuman,1,8000,3000,8000,5000,2024-09-21,2024-09,62.5
